Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
JUAREZ,Juarez Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit,"6,699",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Juarez-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Spruce/dp/B08KHR4BJZ/ref=sr_1_51?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-51
JUAREZ,Juârez Lindenwood Acoustic Guitar,"2,789",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDX6/ref=sr_1_52?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-52
Fender,Fender Acoustic Guitar Dreadnought Cd60 V3 Natural 970110521 Right-Hand One Of The Most Reputed Guitar Brands In The World,"12,578",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RL6VG3H/ref=sr_1_53?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-53
JUAREZ,Juarez Acoustic Guitar,"2,665",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_54?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-54
Intern,Intern 38C Ebony Wood Cutaway Design Acoustic Guitar with Picks And Carry Bag (Black),"2,047",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_55?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-55
YAMAHA,YAMAHA FS80C BLACK CONCERT CUTAWAY GUITAR,"7,990",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/YAMAHA-FS80C-CONCERT-CUTAWAY-GUITAR/dp/B08WBBVMVJ/ref=sr_1_56?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-56
Pyle,"Beginner 30"" Classical Acoustic Guitar - 6 String Junior Linden Wood Traditional Guitar W/Wooden Fretboard","13,005",-,May 24 - 27,,https://www.amazon.in/Classical-Traditional-Fretboard-Pyle-PGACLS30/dp/B07NVWHBBH/ref=sr_1_57?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-57
Kadence,Kadence Frontier Series 40 Incheses wood Semi Acoustic Guitar With Die Cast Keys (Bag,"4,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Sunburst-Strings/dp/B07T5DMPZ3/ref=sr_1_58?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-58
JUAREZ,JUAREZ Arpéggio 104.14 cm (41 Inch) Semi-Acoustic Guitar Kit,"6,699",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Natural/dp/B08KHFJKZK/ref=sr_1_49?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-49
Kadence,Kadence Concert Sized Ukulele 24inch (Built in Equalizer) With Bag and Tuner (Saple Wood With Binding),"3,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Kadence-Concert-Ukulele-Equalizer-Binding/dp/B08PNSGQBL/ref=sr_1_50?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-50
